id,date,nameEn,nameFr,federal,observedDate,province_id
1,2026-01-01,New Year’s Day,Jour de l’An,1,2026-01-01,AB
5,2026-02-16,Family Day,Fête de la famille,0,2026-02-16,AB
8,2026-04-03,Good Friday,Vendredi saint,1,2026-04-03,AB
12,2026-05-18,Victoria Day,Fête de la Reine,1,2026-05-18,AB
16,2026-07-01,Canada Day,Fête du Canada,1,2026-07-01,AB
28,2026-09-07,Labour Day,Fête du travail,1,2026-09-07,AB
32,2026-10-12,Thanksgiving,Action de grâce,1,2026-10-12,AB
33,2026-11-11,Remembrance Day,Jour du Souvenir,1,2026-11-11,AB
34,2026-12-25,Christmas Day,Noël,1,2026-12-25,AB
